ID,school,lat,lon,city,ndvi_mean,nlcd_canopy_mean,nlcd_high_canopy_frac
43693696046122,Ben Painter Elementary,37.37495,-121.84331,San Jose,0.13737710064672115,0.0,0.0
43693696046213,Linda Vista Elementary,37.376934,-121.82372,San Jose,0.25454467485458954,4.095640293131288,0.28990187554341074
43693696046221,Lyndale Elementary,37.359746,-121.82492,San Jose,0.21209719006831745,0.43462063827145164,0.018129889482180552
43693696046247,Aptitud Community Academy at Goss,37.34995,-121.8314,San Jose,0.20535355152764073,0.8440332795231592,0.07165031665217932
43693696046254,Millard McCollam Elementary,37.380472,-121.83312,San Jose,0.21933831958239114,0.0,0.0
43693696046270,O. S. Hubbard Elementary,37.330237,-121.83946,San Jose,0.24966818675047814,1.893487447178722,0.15113099676858066
43693696046304,San Antonio Elementary,37.350025,-121.85234,San Jose,0.19491755431797606,2.361818407651224,0.20668239970190042
43693696046320,Thomas P. Ryan Elementary,37.350062,-121.82257,San Jose,0.22099842236052203,1.1121739130434782,0.10360248447204969
43693696046338,William Sheppard Middle,37.37451,-121.843,San Jose,0.11293484620280644,0.0,0.0
43693696089270,Ocala Middle,37.340385,-121.82046,San Jose,0.11439031211251727,0.0,0.0
43693776046379,Noble Elementary,37.396302,-121.8391,San Jose,0.2684959881764147,3.356024844720497,0.2524223602484472
43693776046387,Northwood Elementary,37.40946,-121.88134,San Jose,0.27747479914452977,3.29355519682106,0.29914317645597904
43693776046395,Piedmont Middle,37.390727,-121.84264,San Jose,0.3520162761252553,5.884581935644178,0.33743322151820093
43693776067177,Ruskin Elementary,37.400282,-121.85589,San Jose,0.20966291821359478,1.922599080631134,0.15741085849173808
43693776068928,Morrill Middle,37.410219,-121.87111,San Jose,0.2576854069335907,3.5109316770186334,0.26670807453416145
43693776093033,Sierramont Middle,37.403132,-121.85593,San Jose,0.2724704297778473,1.7789369100844508,0.15201192250372575
43693776093041,Vinci Park Elementary,37.380943,-121.87333,San Jose,0.2898196378089589,5.692947603675193,0.3081698534889496
43693776095335,Brooktree Elementary,37.398513,-121.88005,San Jose,0.2535496422569472,1.002733598409543,0.10027335984095427
43693776095343,Majestic Way Elementary,37.410648,-121.85723,San Jose,0.28829138150076916,1.0906832298136646,0.09987577639751553
43693776095350,Summerdale Elementary,37.389589,-121.85196,San Jose,0.25819600158679534,1.5996520874751494,0.15121769383697817
43693850133439,Steindorf STEAM K-8 Magnet,37.266653,-121.92053,San Jose,0.24869283470609535,0.7857675111773471,0.0673124689518132
43693856046411,Bagby Elementary,37.278715,-121.92193,San Jose,0.3830342711541259,9.03751086821513,0.5508632468016397
43694014330239,Leigh High,37.24331,-121.92258,San Jose,0.28811051090124945,1.6422451260399848,0.14777101701229353
43694014330866,Branham High,37.254576,-121.89957,San Jose,0.16910963984545177,2.603527512110296,0.23313874052912678
43694014331955,Del Mar High,37.303262,-121.9303,San Jose,0.1764425033156577,2.9259719289529253,0.22630729101974909
43694196046882,Joaquin Miller Middle,37.301254,-122.0121,San Jose,0.28007057806552205,2.734409937888199,0.20111801242236024
43694196046908,John Muir Elementary,37.300409,-122.01946,San Jose,0.2690925613320381,3.031801242236025,0.22360248447204972
43694196046965,Manuel De Vargas Elementary,37.310596,-121.99102,San Jose,0.33663056365072014,6.0586262576077505,0.4565892435722269
43694196047005,Nelson S. Dilworth Elementary,37.306291,-122.00688,San Jose,0.2805754942860128,6.247361231839065,0.4276667080591083
43694196047039,Murdock-Portal Elementary,37.30381,-121.99952,San Jose,0.29915394367182235,3.9290947472991427,0.26251086551595676
43694274330015,Yerba Buena High,37.320791,-121.84831,San Jose,0.25006236103559987,3.6585971446306638,0.27535692116697696
43694274330023,Santa Teresa High,37.235085,-121.8305,San Jose,0.2640143936146492,3.7658966716343754,0.26254346746150015
43694274330031,Independence High,37.370953,-121.85602,San Jose,0.21954828547656938,4.1446142377935145,0.2891042365511244
43694274330692,Evergreen Valley High,37.325201,-121.77866,San Jose,0.20286719263320332,1.5199403652627657,0.10063361908311592
43694274332995,Andrew P. Hill High,37.291923,-121.83173,San Jose,0.17689078230062624,2.4111801242236024,0.19937888198757767
43694274333639,James Lick High,37.368046,-121.83009,San Jose,0.18122622294182283,0.9988819875776397,0.09590062111801241
43694274334900,Mt. Pleasant High,37.345646,-121.80948,San Jose,0.29038818935095057,3.491862343148217,0.25270219903093555
43694274335204,Oak Grove High,37.251575,-121.81892,San Jose,0.27016335349485915,4.589119364054155,0.385417960501801
43694274335428,William C. Overfelt High,37.330593,-121.82838,San Jose,0.21323407732875238,0.03850453359831077,0.003850453359831077
43694274335907,Piedmont Hills High,37.403788,-121.84899,San Jose,0.292493177112631,6.8191304347826085,0.3924223602484472
43694274337903,Silver Creek High,37.304331,-121.80831,San Jose,0.2943308854233902,4.841222512113307,0.3524661448627159
43694350102616,Carolyn A. Clark Elementary,37.321714,-121.76937,San Jose,0.2596464891199165,2.9891938889578933,0.1992299093280338
43694356047120,Cadwallader Elementary,37.306698,-121.78763,San Jose,0.2964518636725577,3.313991053677934,0.2574552683896621
43694356047138,Evergreen Elementary,37.310525,-121.77793,San Jose,0.2575792949412173,4.576469126599577,0.3955770903217791
43694356047146,Holly Oak Elementary,37.31875,-121.79765,San Jose,0.21785054607489265,1.5458271236959764,0.13474913065077
